а	而，却，可是
банк	银行
банка	筒，盒，[火]罐
батон	面包棍
брат	哥哥，弟弟，兄弟
бумага	纸
группа	班，组，队
да 	是
доктор	医生，博士
дом	房子
дома	在家里
дорога	道路
друг	朋友
и	和
как?	怎样，如何
карта	地图，纸牌
комната	房间
кот	猫
кто; кто это?	谁，这是谁
мама	妈妈
марка	邮票
нога	腿，脚
окно	窗户
он	他
она	她
оно	它
папа	爸爸
папка	纸夹
парк	公园
погода	天气
подруга	女朋友
потом	以后，后来
поэт	诗人
работа	工作
рука	手
там	那里
тут	这里
урок	课
это	这是
	


Урок 2


буква	字母
ваза	花瓶
вата	棉花
вода	水
вопрос	问题
вот	这就是
город	城市
группа	班，组，队
давно	很久以前，老
два	二
его её	他的，她的
завод	工厂
завтра	明天
завтрак	早餐
звук	声音
зонт	雨伞
зуб	牙齿
как вас. его, её, их зовут?	您，她，她，他们的名字叫什么

капуста	包菜
конструктор	设计师
кто он?	他是谁？
май	五月
мой, моя, моё	我的
нос	鼻子
правда: это правда	真话,真相
рассказ	短篇小说，故事
родной город	故乡
сад	花园
сок	果汁
справа	从右边
стакан	杯子
сто	一百
страна	国家
суббота	星期六
сумка	袋，包
суп	汤
утро	早上
фонтан	喷泉
фото	照片
фраза	句子



Урок 3


булка	小白面包
быстро	快
вход	入口
вы	您，您们
выход	出口
глагол	动词
глаз	眼睛
голова	头
зал	大厅
класс	班级
клуб	俱乐部
лампа	灯泡
масло	油
масло	油的
музыка	音乐
музыкант	音乐家
мы	我们
мыло	肥皂
они	他们
открытка	明信片
плохо	坏
пол	地板
продукты	食物
река	河
родной брат	亲兄弟
рыба	鱼
сахар	糖
стол	桌子
столовая	食堂
стул	椅子
сын	儿子
сыр	干酪
ты	你
фрукты	水果
футбол	足球
холодно	冷
хор	合唱
яблоко	苹果


Урок 4


автобус 	公共汽车
бабушка	[外]祖母
блокнот	拍纸簿，活页纸
ваш	你们的
выставка	展览会
доктор	医生，博士
дружба	友谊
душ	淋浴
его	他的
её	她的
жар	热
жарко	热
жена	妻子
журнал	杂志
их	他们
карандаш	铅笔
концерт	音乐会
ложка	勺子
машина	汽车
можно	能够
муж	丈夫
наш, наша, наше	我们的
нож	刀子
подушка	枕头
пожалуйста	请，不客气
роза	玫瑰
рубашка	衬衫
скажи(те)	请告诉
спорт	体育，运动
спортзал	体育馆
станция	车站，站
стоматолог	口腔学专家
тоже	也
уже	已经
ужин	晚饭
уютно	舒适
фотоаппарат	照相机
хорошо	好
центр	中心
цинк	锌
цирк	杂技，马戏
цифра	数字
шапка	帽子
шар	球，气球
